ntd_id,mode,report_year,operating_expenses,unlinked_trips,cost_per_trip
20008,AAR_demand_response,2015,461728015.0,6641883.0,69.52
20008,AAR_demand_response,2016,467083460.0,6316903.0,73.94
20008,AAR_demand_response,2017,474111585.0,5789381.0,81.89
20008,AAR_demand_response,2018,456195515.0,5086003.0,89.7
20008,AAR_demand_response,2019,516470491.0,4828423.0,106.96
20008,AAR_demand_response,2020,384800386.0,2502323.0,153.78
20008,AAR_demand_response,2021,399747333.0,2378705.0,168.05
20008,AAR_demand_response,2022,467111823.0,2484579.0,188.0
20008,AAR_demand_response,2023,564652967.0,2716563.0,207.86
20008,AAR_demand_response,2024,271550965.0,2828231.0,96.01
20008,bus_motor_bus,2015,2662592742.0,743763755.0,3.58
20008,bus_motor_bus,2016,2779372331.0,743752458.0,3.74
20008,bus_motor_bus,2017,2520243905.0,691273010.0,3.65
20008,bus_motor_bus,2018,2563162504.0,691981427.0,3.7
20008,bus_motor_bus,2019,2685918268.0,691616614.0,3.88
20008,bus_motor_bus,2020,2607674237.0,403160315.0,6.47
20008,bus_motor_bus,2021,2752149757.0,393017794.0,7.0
20008,bus_motor_bus,2022,2897009660.0,458602306.0,6.32
20008,bus_motor_bus,2023,3118485221.0,570625248.0,5.47
20008,bus_motor_bus,2024,3471179450.0,647859171.0,5.36
20008,subway_heavy_rail,2015,5200211879.0,2662421226.0,1.95
20008,subway_heavy_rail,2016,5558943117.0,2673282334.0,2.08
20008,subway_heavy_rail,2017,4788183315.0,2699537600.0,1.77
20008,subway_heavy_rail,2018,5068977553.0,2628355851.0,1.93
20008,subway_heavy_rail,2019,5206727193.0,2712521697.0,1.92
20008,subway_heavy_rail,2020,4936965252.0,1112653405.0,4.44
20008,subway_heavy_rail,2021,5027256304.0,1311224575.0,3.83
20008,subway_heavy_rail,2022,5349756161.0,1788363060.0,2.99
20008,subway_heavy_rail,2023,6047953647.0,2017881703.0,3.0
20008,subway_heavy_rail,2024,6500549691.0,2207269846.0,2.95
